Shannon,x,y,difference,SpeciesID
1.081130629,Penicillium-mb,Penicillium-commune,-0.303143365,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-commune,-0.029056923,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-commune,-0.007241076,Penicillium-mb
1.081130629,Penicillium-mb,Penicillium-chrysogenum,0.129904137,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-chrysogenum,0.264679345,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-chrysogenum,0.204237352,Penicillium-mb
1.081130629,Penicillium-mb,Penicillium-cvjetkovicii,-0.303584944,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-cvjetkovicii,-0.029689028,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-cvjetkovicii,-0.008232258,Penicillium-mb
1.081130629,Penicillium-mb,Penicillium-brevicompactum,-0.304543018,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-brevicompactum,-0.030125275,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-brevicompactum,-0.008433976,Penicillium-mb
1.080203214,Penicillium-polonicum,Penicillium-verrucosum,0.443144204,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-verrucosum,0.373586393,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-verrucosum,0.363479196,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-solitum,-0.256111267,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-solitum,-0.260690965,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-solitum,-0.280007274,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-mb,-0.000927414,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-mb,-0.26236249,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-mb,-0.281169314,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-commune,-0.304070779,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-commune,-0.291419413,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-commune,-0.28841039,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-chrysogenum,0.128976723,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-chrysogenum,0.002316855,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-chrysogenum,-0.076931962,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-cvjetkovicii,-0.304512359,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-cvjetkovicii,-0.292051518,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-cvjetkovicii,-0.289401572,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Penicillium-brevicompactum,-0.305470432,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Penicillium-brevicompactum,-0.292487765,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Penicillium-brevicompactum,-0.289603291,Penicillium-polonicum
1.080203214,Penicillium-polonicum,Alone,-0.275681896,Penicillium-polonicum
1.093300838,Penicillium-polonicum,Alone,-0.292081992,Penicillium-polonicum
1.096615353,Penicillium-polonicum,Alone,-0.289314656,Penicillium-polonicum
1.336314482,Penicillium-solitum,Penicillium-verrucosum,0.699255472,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-verrucosum,0.634277358,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-verrucosum,0.64348647,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-polonicum,0.256111267,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-polonicum,0.260690965,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-polonicum,0.280007274,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-mb,0.255183853,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-mb,-0.001671525,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-mb,-0.00116204,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-commune,-0.047959512,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-commune,-0.030728448,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-commune,-0.008403116,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-chrysogenum,0.38508799,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-chrysogenum,0.263007821,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-chrysogenum,0.203075312,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-cvjetkovicii,-0.048401091,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-cvjetkovicii,-0.031360553,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-cvjetkovicii,-0.009394297,Penicillium-solitum
1.336314482,Penicillium-solitum,Penicillium-brevicompactum,-0.049359165,Penicillium-solitum
1.353991804,Penicillium-solitum,Penicillium-brevicompactum,-0.031796799,Penicillium-solitum
1.376622627,Penicillium-solitum,Penicillium-brevicompactum,-0.009596016,Penicillium-solitum
1.336314482,Penicillium-solitum,Alone,-0.019570628,Penicillium-solitum
1.353991804,Penicillium-solitum,Alone,-0.031391027,Penicillium-solitum
1.376622627,Penicillium-solitum,Alone,-0.009307381,Penicillium-solitum
0.63705901,Penicillium-verrucosum,Penicillium-polonicum,-0.443144204,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-polonicum,-0.373586393,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-polonicum,-0.363479196,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-solitum,-0.699255472,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-solitum,-0.634277358,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-solitum,-0.64348647,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-mb,-0.444071619,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-mb,-0.635948883,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-mb,-0.64464851,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-commune,-0.747214983,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-commune,-0.665005806,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-commune,-0.651889586,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-chrysogenum,-0.314167481,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-chrysogenum,-0.371269538,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-chrysogenum,-0.440411158,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-cvjetkovicii,-0.747656563,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-cvjetkovicii,-0.665637911,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-cvjetkovicii,-0.652880767,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Penicillium-brevicompactum,-0.748614636,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Penicillium-brevicompactum,-0.666074158,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Penicillium-brevicompactum,-0.653082486,Penicillium-verrucosum
0.63705901,Penicillium-verrucosum,Alone,-0.7188261,Penicillium-verrucosum
0.719714445,Penicillium-verrucosum,Alone,-0.665668385,Penicillium-verrucosum
0.733136157,Penicillium-verrucosum,Alone,-0.652793851,Penicillium-verrucosum
